"JSD, SD=4    input_layer_type    sqrt_softmax",5149.456785889669
"JSD, SD=4    input_layer_type    gaussian_kernel",5163.767057295144
"JSD, SD=4    input_layer_type    CNN",5141.126843126658
"JSD, SD=4    input_layer_type    VAE",5172.095179985536
"JSD, SD=4    encoding_dim    2",5145.986103847815
"JSD, SD=4    encoding_dim    3",5139.787291795557
"JSD, SD=4    encoding_dim    6",5169.368467433136
"JSD, SD=4    hidden_layers    5",5153.913542035602
"JSD, SD=4    hidden_layers    7",5138.373139969966
"JSD, SD=4    hidden_layers    9",5167.112333207411
"JSD, SD=4    hidden_layers    27",5194.9847950196845
"JSD, SD=4    activity_regularizer    ",5155.519384674062
"JSD, SD=4    activity_regularizer    L2, 0.01",5195.6513171509105
"JSD, SD=4    activity_regularizer    L1, 0.01",5132.216131423282
"JSD, SD=4    activity_regularizer    L1, 10^-4",5143.705568956933
"JSD, SD=4    sigma    0.005",1414.9872679215869
"JSD, SD=4    sigma    0.01",2650.5500735987216
"JSD, SD=4    sigma    0.05",9688.350496134826
"JSD, SD=4    sigma    0.1",11656.708883181036
"JSD, SD=4    sigma    0.2",12591.490118427655
"JSD, SD=4    BN_size    2",3416.619758393822
"JSD, SD=4    BN_size    4",6832.693301015723
"JSD, SD=4    BN_size    5",8602.609230829623
"JSD, SD=4    BN_size    10",17232.70456096606
"JSD, SD=4    BN_size    20",34358.468998959936
"JSD, SD=4    BN_size    30",51696.50054468933
"JSD, SD=4    labeled_data_percentage    99",5138.931261416728
"JSD, SD=4    labeled_data_percentage    50",5180.271196477792
"JSD, SD=4    labeled_data_percentage    20",5165.53173794448
"JSD, SD=4    labeled_data_percentage    10",5127.339049524622
"JSD, SD=4    labeled_data_percentage    5",5214.514274283189
"JSD, SD=4    labeled_data_percentage    1",5168.7250792271425
"JSD, SD=4    labeled_data_percentage    0.5",5146.4911558755075
"JSD, SD=4    labeled_data_percentage    0.25",5156.745728948068
"JSD, SD=4    labeled_data_percentage    0.125",5154.143956484413
"JSD, SD=4    labeled_data_percentage    0.05",5175.915383288156
"JSD, SD=4    labeled_data_percentage    0.01",5176.825476713597
"JSD, SD=4    sampling_density    15",5370.365832398321
"JSD, SD=4    sampling_density    25",5442.192183293275
"JSD, SD=4    sampling_density    50",5510.636894045623
"JSD, SD=4    sampling_density    100",5540.969813463603
"JSD, SD=4    sampling_density    150",5562.716509641143
"JSD, SD=4    sampling_density    300",5567.165008134494
"JSD, SD=4    gaussian_noise_sigma    lambda SD, 0.01",5157.4943651227895
"JSD, SD=4    gaussian_noise_sigma    lambda SD, 0.02",5156.360836386837
"JSD, SD=4    gaussian_noise_sigma    lambda SD, 0.05",5147.600974639419
"JSD, SD=4    gaussian_noise_sigma    lambda SD, 0.1",5179.891090149259
"JSD, SD=4    gaussian_noise_sigma    lambda SD, 0.2",5181.674045799643
"JSD, SD=4    gaussian_noise_sigma    lambda SD, (0.01 over SD) cdot 100",5198.1912488651105
"JSD, SD=4    gaussian_noise_sigma    lambda SD, (0.02 over SD) cdot 100",5163.245751833188
"JSD, SD=4    gaussian_noise_sigma    lambda SD, (0.05 over SD) cdot 100",5139.695315900313
"JSD, SD=4    gaussian_noise_sigma    lambda SD, (0.1 over SD) cdot 100",5165.768921184074
"JSD, SD=4    gaussian_noise_sigma    lambda SD, (0.2 over SD) cdot 100",5138.009539957537
"JSD, SD=4    missing_entry    0.001",11.411802301512948
"JSD, SD=4    missing_entry    0.005",57.05901150756473
"JSD, SD=4    missing_entry    0.01",114.11802301512947
"JSD, SD=4    missing_entry    0.05",570.5901150756474
"JSD, SD=4    missing_entry    0.1",1141.1802301512946
"JSD, SD=4    missing_entry    0.5",5705.901150756475
"JSD, SD=4    missing_entry_combined    0.001",5167.278223931524
"JSD, SD=4    missing_entry_combined    0.005",5179.263310859602
"JSD, SD=4    missing_entry_combined    0.01",5223.25563053276
"JSD, SD=4    missing_entry_combined    0.05",5463.93329291462
"JSD, SD=4    missing_entry_combined    0.1",5771.777135568999
"JSD, SD=4    missing_entry_combined    0.5",8283.558568364137
"JSD, SD=4    missing_entry_no_denoising    0.001",11.411802301512948
"JSD, SD=4    missing_entry_no_denoising    0.005",57.05901150756474
"JSD, SD=4    missing_entry_no_denoising    0.01",114.11802301512947
"JSD, SD=4    missing_entry_no_denoising    0.05",570.5901150756474
"JSD, SD=4    missing_entry_no_denoising    0.1",1141.1802301512948
"JSD, SD=4    missing_entry_no_denoising    0.5",5705.901150756474
"JSD, SD=4    rows    100",50.88478122349465
"JSD, SD=4    rows    1000",516.556379398329
"JSD, SD=4    rows    100000",51519.08614485621
"JSD, SD=4    rows    1000000",516096.47064980085
"CCEu, SD=4    sampling_density    15",5358.238833193205
"CCEu, SD=4    sampling_density    25",5443.497664033275
"CCEu, SD=4    sampling_density    50",5504.986953873938
"CCEu, SD=4    sampling_density    100",5539.356190652052
"CCEu, SD=4    sampling_density    150",5554.001077134754
"CCEu, SD=4    sampling_density    300",5563.342372343525
"JSDu, SD=4    activation_types    ['relu']",5153.613044020009
"JSDu, SD=4    activation_types    ['relu', 'relu', 'relu', 'relu', 'relu']",5106.235136901718
"JSDu, SD=4    activation_types    ['sin', 'cos', 'linear']",5111.780154184982
